uuid,name,type,permalink,cb_url,rank,created_at,updated_at,category_groups_list
89b9e37a-0dcb-a76e-0816-b69d9b54279c,Augmented Reality,category,augmented-reality,https://www.crunchbase.com/category/augmented-reality,,2014-04-20 07:58:46,2018-02-13 00:59:11,"Hardware,Software"
89677d30-71f2-a6c9-efca-fa3f4ae4de1e,Credit Cards,category,credit-cards,https://www.crunchbase.com/category/credit-cards,,2014-04-20 07:58:46,2018-02-13 00:59:11,"Financial Services,Lending and Investments,Payments"
8814acc5-9b6a-4f53-28e3-a41c22d6477b,Mobile Devices,category,mobile-devices,https://www.crunchbase.com/category/mobile-devices,,2014-04-20 07:58:46,2018-02-13 00:59:11,"Consumer Electronics,Hardware,Mobile"
82bf2be6-3f6a-dcc7-b503-db3361577b8b,Celebrity,category,celebrity,https://www.crunchbase.com/category/celebrity,,2014-04-20 07:58:46,2018-02-13 00:59:11,Media and Entertainment
7a37f7dd-da23-e8b0-3fea-7f16a607d7bc,Racing,category,racing,https://www.crunchbase.com/category/racing,,2014-04-20 07:58:46,2018-02-13 00:59:11,Sports
744fa5d2-258f-24df-55d6-38983e272543,Coworking,category,coworking,https://www.crunchbase.com/category/coworking,,2014-04-20 07:58:46,2018-02-13 00:59:10,Real Estate
663f3831-4ac8-a42d-8dbd-0a8c3a0a9dd7,Vending and Concessions,category,vending-and-concessions,https://www.crunchbase.com/category/vending-and-concessions,,2014-04-20 07:58:46,2018-02-13 00:59:10,Commerce and Shopping
62564c13-d63b-1a8e-6894-27dd668b51d4,RFID,category,rfid,https://www.crunchbase.com/category/rfid,,2014-04-20 07:58:46,2018-02-13 00:59:10,Hardware
61f19815-c7f8-ed2c-8dd1-81bb306560fa,College Recruiting,category,college-recruiting,https://www.crunchbase.com/category/college-recruiting,,2014-04-20 07:58:46,2018-02-13 00:59:10,"Administrative Services,Education"
61b83871-f3be-f95f-93bb-d555157a4ff6,Developer Tools,category,developer-tools,https://www.crunchbase.com/category/developer-tools,,2014-04-20 07:58:46,2018-02-13 00:59:10,Software
5fd72d4b-40dc-4f4d-f702-82e8cffb5e7d,EBooks,category,ebooks,https://www.crunchbase.com/category/ebooks,,2014-04-20 07:58:46,2018-02-13 00:59:10,"Content and Publishing,Media and Entertainment"
5d9d97f5-440d-56f7-976a-d5b0a3c5a77f,Multi-level Marketing,category,multi-level-marketing,https://www.crunchbase.com/category/multi-level-marketing,,2014-04-20 07:58:46,2018-02-13 00:59:10,Sales and Marketing
5d591be4-ff96-01a7-0493-183606afe26d,Document Management,category,document-management,https://www.crunchbase.com/category/document-management,,2014-04-20 07:58:46,2018-02-13 00:59:10,"Information Technology,Software"
5c4e6926-5ff7-b188-0892-c8eb036c5ace,SaaS,category,saas-5c4e,https://www.crunchbase.com/category/saas-5c4e,,2014-04-20 07:58:46,2018-02-13 00:59:10,Software
5ada59d6-cc9e-97c4-9dea-bed9f472100b,Crowdfunding,category,crowdfunding,https://www.crunchbase.com/category/crowdfunding,,2014-04-20 07:58:46,2018-02-13 00:59:10,Financial Services
59ca1fa9-cc20-7f84-3c52-a6cee0ffe4a8,Outsourcing,category,outsourcing-59ca,https://www.crunchbase.com/category/outsourcing-59ca,,2014-04-20 07:58:46,2018-02-13 00:59:10,Professional Services
58842728-7ab9-5bd1-bb67-e8e55f6520a0,Biotechnology,category,biotechnology,https://www.crunchbase.com/category/biotechnology,,2014-04-20 07:58:46,2018-02-13 00:59:10,"Biotechnology,Science and Engineering"
5667104c-03d1-0317-d996-55a02fb16f90,Personalization,category,personalization,https://www.crunchbase.com/category/personalization,,2014-04-20 07:58:46,2018-02-13 00:59:10,Commerce and Shopping
55d506cf-4bdc-85e0-2076-230bfac65d6e,Theatre,category,theatre,https://www.crunchbase.com/category/theatre,,2014-04-20 07:58:46,2018-02-13 00:59:10,Media and Entertainment
5349a2f2-14d8-9727-c32a-19ebea5db78c,Social Media,category,social-media,https://www.crunchbase.com/category/social-media,,2014-04-20 07:58:46,2018-02-13 00:59:10,"Internet Services,Media and Entertainment"
5222bb72-6a6d-08c3-7afe-afa9db296e5b,Reading Apps,category,reading-apps,https://www.crunchbase.com/category/reading-apps,,2014-04-20 07:58:46,2018-02-13 00:58:55,"Apps,Software"
4a45af54-9841-add7-cda3-1c166889a6b0,Loyalty Programs,category,loyalty-programs,https://www.crunchbase.com/category/loyalty-programs,,2014-04-20 07:58:46,2018-02-13 00:59:10,Sales and Marketing
4349df99-4484-6059-bde4-1b4ac7b55abd,Toys,category,toys,https://www.crunchbase.com/category/toys,,2014-04-20 07:58:46,2018-02-13 00:59:10,Consumer Goods
404d4762-e5b6-1721-c045-6b0556619e73,Public Transportation,category,public-transportation,https://www.crunchbase.com/category/public-transportation,,2014-04-20 07:58:46,2018-02-13 00:59:10,Transportation
3f21415b-5784-6be6-3722-eb189190b7cd,Health Care,category,health-care,https://www.crunchbase.com/category/health-care,,2014-04-20 07:58:46,2018-02-13 00:59:10,Health Care
2f47ba93-33d3-61fe-de89-0fe8a4a8366b,Digital Media,category,digital-media-2f47,https://www.crunchbase.com/category/digital-media-2f47,,2014-04-20 07:58:46,2018-02-13 00:58:57,Media and Entertainment
2de01956-ad66-8623-0b9b-2c83ef9b7ad9,Alumni,category,alumni,https://www.crunchbase.com/category/alumni,,2014-04-20 07:58:46,2018-02-13 00:58:57,"Education,Other"
2772a539-e636-09dc-30dc-b1a7deb98d0e,Internet,category,internet,https://www.crunchbase.com/category/internet,,2014-04-20 07:58:46,2018-02-13 00:58:56,Internet Services
275ddcbc-27de-ff4f-4e50-6dc26ebf9570,E-Commerce,category,e-commerce-275d,https://www.crunchbase.com/category/e-commerce-275d,,2014-04-20 07:58:46,2018-02-13 00:58:56,Commerce and Shopping
2643338a-b464-bb84-8a4e-2a1f0e8a9958,Tobacco,category,tobacco,https://www.crunchbase.com/category/tobacco,,2014-04-20 07:58:46,2018-02-13 00:58:56,"Consumer Goods,Food and Beverage"
202de69d-732b-5471-1e68-8453cfbc8b92,Therapeutics,category,therapeutics,https://www.crunchbase.com/category/therapeutics,,2014-04-20 07:58:46,2018-02-13 00:58:55,Health Care
1fe278ea-e441-01b9-30db-6c301c0d6fd1,Business Development,category,business-development,https://www.crunchbase.com/category/business-development,,2014-04-20 07:58:46,2018-02-13 00:58:55,Professional Services
1f843ff1-4a47-c956-aa2a-cc8d290da90f,Impact Investing,category,impact-investing,https://www.crunchbase.com/category/impact-investing,,2014-04-20 07:58:46,2018-02-13 00:58:55,"Financial Services,Lending and Investments"
1ded7054-9e6d-2ede-57ad-c95e83be0c06,Blogging Platforms,category,blogging-platforms,https://www.crunchbase.com/category/blogging-platforms,,2014-04-20 07:58:46,2018-02-13 00:58:55,"Content and Publishing,Media and Entertainment"
1b0319b6-bf80-9296-7c58-e45f0767bbb4,Crowdsourcing,category,crowdsourcing,https://www.crunchbase.com/category/crowdsourcing,,2014-04-20 07:58:46,2018-02-13 00:58:54,Other
11b5fc5f-2db3-a0a6-1457-bb237c7b6ac0,Credit,category,credit,https://www.crunchbase.com/category/credit,,2014-04-20 07:58:46,2018-02-13 00:58:52,"Financial Services,Lending and Investments"
104eed8c-8bd5-5d13-e418-d698bf8a2bce,Fraud Detection,category,fraud-detection,https://www.crunchbase.com/category/fraud-detection,,2014-04-20 07:58:46,2018-02-13 00:58:52,"Financial Services,Payments,Privacy and Security"
0ff04f3a-4264-226a-9c03-a481554b637d,Energy,category,energy-0ff0,https://www.crunchbase.com/category/energy-0ff0,,2014-04-20 07:58:46,2018-02-13 00:58:52,Energy
03f72e37-791c-2a02-cc32-3a202dbaab3e,Mobile Advertising,category,mobile-advertising,https://www.crunchbase.com/category/mobile-advertising,,2014-04-20 07:58:46,2018-02-13 00:59:10,"Advertising,Sales and Marketing"
fec1a806-6b09-549e-2c93-7aacad1a38f9,Lead Generation,category,lead-generation,https://www.crunchbase.com/category/lead-generation,,2014-04-20 07:58:47,2018-02-13 00:59:11,Sales and Marketing
fe55ab18-5d21-5cd3-3aac-f899919728ed,Landscaping,category,landscaping,https://www.crunchbase.com/category/landscaping,,2014-04-20 07:58:47,2018-02-13 00:59:11,Real Estate
fb98376c-283a-7d36-fd3e-65d036d7ef2a,Customer Service,category,customer-service,https://www.crunchbase.com/category/customer-service,,2014-04-20 07:58:47,2018-02-13 00:59:11,"Other,Professional Services"
f9e27700-8504-b203-6b23-606fb32d1449,Industrial Automation,category,industrial-automation,https://www.crunchbase.com/category/industrial-automation,,2014-04-20 07:58:47,2018-02-13 00:59:11,"Manufacturing,Science and Engineering"
